question,answer,focus,qtype,source
what research (or clinical trials) is being done for Breast Cancer ?,"Cancer prevention clinical trials are used to study ways to prevent cancer.
                    Cancer prevention clinical trials are used to study ways to lower the risk of developing certain types of cancer. Some cancer prevention trials are conducted with healthy people who have not had cancer but who have an increased risk for cancer. Other prevention trials are conducted with people who have had cancer and are trying to prevent another cancer of the same type or to lower their chance of developing a new type of cancer. Other trials are done with healthy volunteers who are not known to have any risk factors for cancer.   The purpose of some cancer prevention clinical trials is to find out whether actions people take can prevent cancer. These may include exercising more or quitting smoking or taking certain medicines, vitamins, minerals, or food supplements.
                
                
                    New ways to prevent breast cancer are being studied in clinical trials.",Breast Cancer,research,CancerGov
What is (are) Breast Cancer ?,"Key Points
                    - Breast cancer is a disease in which malignant (cancer) cells form in the tissues of the breast.    - Breast cancer is the second leading cause of death from cancer in American women.    -  Different factors increase or decrease the risk of breast cancer.
                
                
                    Breast cancer is a disease in which malignant (cancer) cells form in the tissues of the breast.
                    The breast is made up of lobes and ducts. Each breast has 15 to 20 sections called lobes, which have many smaller sections called lobules. Lobules end in dozens of tiny bulbs that can produce milk. The lobes, lobules, and bulbs are linked by thin tubes called ducts.     Each breast also contains blood vessels and lymph vessels. The lymph vessels carry an almost colorless fluid called lymph. Lymph vessels lead to organs called lymph nodes. Lymph nodes are small bean-shaped structures that are found throughout the body. They filter substances in lymph and help fight infection and disease. Clusters of lymph nodes are found near the breast in the axilla (under the arm), above the collarbone, and in the chest.   See the following PDQ summaries for more information about breast cancer:         -  Breast Cancer Prevention     -  Breast Cancer Treatment     -  Genetics of Breast and Gynecologic Cancers
                
                
                    Breast cancer is the second leading cause of death from cancer in American women.
                    Women in the United States get breast cancer more than any other type of cancer except for skin cancer. Breast cancer is second only to lung cancer as a cause of cancer death in women.    Breast cancer occurs more often in white women than in black women. However, black women are more likely than white women to die from the disease.   Breast cancer occurs in men also, but the number of cases is small.",Breast Cancer,information,CancerGov
Who is at risk for Breast Cancer? ?,"Different factors increase or decrease the risk of breast cancer. Anything that increases your chance of getting a disease is called a risk factor. Anything that decreases your chance of getting a disease is called a protective factor.    For information about risk factors and protective factors for breast cancer, see the PDQ summary on Breast Cancer Prevention.",Breast Cancer,susceptibility,CancerGov
what research (or clinical trials) is being done for Breast Cancer ?,"Other screening tests are being studied in clinical trials.
                    Thermography     Thermography is a procedure in which a special camera that senses heat is used to record the temperature of the skin that covers the breasts. A computer makes a map of the breast showing the changes in temperature. Tumors can cause temperature changes that may show up on the thermogram.     There have been no clinical trials of thermography to find out how well it detects breast cancer or if having the procedure decreases the risk of dying from breast cancer.       Tissue sampling    Breast tissue sampling is taking cells from breast tissue to check under a microscope. Abnormal cells in breast fluid have been linked to an increased risk of breast cancer in some studies. Scientists are studying whether breast tissue sampling can be used to find breast cancer at an early stage or predict the risk of developing breast cancer. Three ways of taking tissue samples are being studied:            -  Fine-needle aspiration: A thin needle is inserted into the breast tissue around the areola (darkened area around the nipple) to take out a sample of cells and fluid.     - Nipple aspiration: The use of gentle suction to collect fluid through the nipple. This is done with a device similar to the breast pumps used by women who are breast-feeding.     -  Ductal lavage: A hair-size catheter (tube) is inserted into the nipple and a small amount of salt water is released into the duct. The water picks up breast cells and is removed.               Screening clinical trials are taking place in many parts of the country. Information about ongoing clinical trials is available from the NCI website.",Breast Cancer,research,CancerGov
What is (are) Skin Cancer ?,"Key Points
                    - Skin cancer is a disease in which malignant (cancer) cells form in the tissues of the skin.    - There are different types of cancer that start in the skin.     - Skin color and being exposed to sunlight can increase the risk of nonmelanoma skin cancer and actinic keratosis.     - Nonmelanoma skin cancer and actinic keratosis often appear as a change in the skin.    - Tests or procedures that examine the skin are used to detect (find) and diagnose nonmelanoma skin cancer and actinic keratosis.    - Certain factors affect prognosis (chance of recovery) and treatment options.
                
                
                    Skin cancer is a disease in which malignant (cancer) cells form in the tissues of the skin.
                    The skin is the bodys largest organ. It protects against heat, sunlight, injury, and infection. Skin also helps control body temperature and stores water, fat, and vitamin D. The skin has several layers, but the two main layers are the epidermis (upper or outer layer) and the dermis (lower or inner layer). Skin cancer begins in the epidermis, which is made up of three kinds of cells:         -  Squamous cells: Thin, flat cells that form the top layer of the epidermis.    -  Basal cells: Round cells under the squamous cells.    -  Melanocytes: Cells that make melanin and are found in the lower part of the epidermis. Melanin is the pigment that gives skin its natural color. When skin is exposed to the sun, melanocytes make more pigment and cause the skin to darken.          Skin cancer can occur anywhere on the body, but it is most common in skin that is often exposed to sunlight, such as the face, neck, hands, and arms.
                
                
                    There are different types of cancer that start in the skin.
                    The most common types are basal cell carcinoma and squamous cell carcinoma, which are nonmelanoma skin cancers. Nonmelanoma skin cancers rarely spread to other parts of the body. Melanoma is a much rarer type of skin cancer. It is more likely to invade nearby tissues and spread to other parts of the body. Actinic keratosis is a skin condition that sometimes becomes squamous cell carcinoma.   This summary is about nonmelanoma skin cancer and actinic keratosis. See the following PDQ summaries for information on melanoma and other kinds of cancer that affect the skin:         -  Melanoma Treatment     -  Mycosis Fungoides and the Szary Syndrome Treatment     -   Kaposi Sarcoma Treatment     -  Merkel Cell Carcinoma Treatment     -  Unusual Cancers of Childhood Treatment     -  Genetics of Skin Cancer
                
                
                    Nonmelanoma skin cancer and actinic keratosis often appear as a change in the skin.
                    Not all changes in the skin are a sign of nonmelanoma skin cancer or actinic keratosis. Check with your doctor if you notice any changes in your skin.    Signs of nonmelanoma skin cancer include the following:         - A sore that does not heal.    - Areas of the skin that are:               - Raised, smooth, shiny, and look pearly.       - Firm and look like a scar, and may be white, yellow, or waxy.      - Raised, and red or reddish-brown.       - Scaly, bleeding or crusty.",Skin Cancer,information,CancerGov
Who is at risk for Skin Cancer? ?,"Skin color and being exposed to sunlight can increase the risk of nonmelanoma skin cancer and actinic keratosis. Anything that increases your chance of getting a disease is called a risk factor. Having a risk factor does not mean that you will get cancer; not having risk factors doesnt mean that you will not get cancer. Talk with your doctor if you think you may be at risk. Risk factors for basal cell carcinoma and squamous cell carcinoma include the following:         - Being exposed to natural sunlight or artificial sunlight (such as from tanning beds) over long periods of time.     - Having a fair complexion, which includes the following:                - Fair skin that freckles and burns easily, does not tan, or tans poorly.       - Blue or green or other light-colored eyes.       - Red or blond hair.             - Having actinic keratosis.     - Past treatment with radiation.    - Having a weakened immune system.     - Having certain changes in the genes that are linked to skin cancer.    - Being exposed to arsenic.",Skin Cancer,susceptibility,CancerGov
How to diagnose Skin Cancer ?,"Tests or procedures that examine the skin are used to detect (find) and diagnose nonmelanoma skin cancer and actinic keratosis. The following procedures may be used:         -  Skin exam: A doctor or nurse checks the skin for bumps or spots that look abnormal in color, size, shape, or texture.    -  Skin biopsy : All or part of the abnormal-looking growth is cut from the skin and viewed under a microscope by a pathologist to check for signs of cancer. There are four main types of skin biopsies:               -  Shave biopsy : A sterile razor blade is used to shave-off the abnormal-looking growth.      -  Punch biopsy : A special instrument called a punch or a trephine is used to remove a circle of tissue from the abnormal-looking growth.      -  Incisional biopsy : A scalpel is used to remove part of a growth.      -  Excisional biopsy : A scalpel is used to remove the entire growth.",Skin Cancer,exams and tests,CancerGov
What is the outlook for Skin Cancer ?,Certain factors affect prognosis (chance of recovery) and treatment options. The prognosis (chance of recovery) depends mostly on the stage of the cancer and the type of treatment used to remove the cancer.   Treatment options depend on the following:         - The stage of the cancer (whether it has spread deeper into the skin or to other places in the body).    - The type of cancer.    - The size of the tumor and what part of the body it affects.    - The patients general health.,Skin Cancer,outlook,CancerGov
What are the stages of Skin Cancer ?,"Key Points
                    - After nonmelanoma skin cancer has been diagnosed, tests are done to find out if cancer cells have spread within the skin or to other parts of the body.     - There are three ways that cancer spreads in the body.    - Cancer may spread from where it began to other parts of the body.    - Staging of nonmelanoma skin cancer depends on whether the tumor has certain ""high-risk"" features and if the tumor is on the eyelid.    - The following stages are used for nonmelanoma skin cancer that is not on the eyelid:         - Stage 0 (Carcinoma in Situ)     - Stage I Stage I nonmelanoma skin cancer. The tumor is no more than 2 centimeters.     - Stage II Stage II nonmelanoma skin cancer. The tumor is more than 2 centimeters wide.     - Stage III     - Stage IV        - The following stages are used for nonmelanoma skin cancer on the eyelid:         - Stage 0 (Carcinoma in Situ)     - Stage I      - Stage II     - Stage III     - Stage IV        - Treatment is based on the type of nonmelanoma skin cancer or other skin condition diagnosed:         - Basal cell carcinoma     - Squamous cell carcinoma     - Actinic keratosis
                
                
                    After nonmelanoma skin cancer has been diagnosed, tests are done to find out if cancer cells have spread within the skin or to other parts of the body.
                    The process used to find out if cancer has spread within the skin or to other parts of the body is called staging. The information gathered from the staging process determines the stage of the disease. It is important to know the stage in order to plan treatment.    The following tests and procedures may be used in the staging process:         -   CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography.    -   MRI (magnetic resonance imaging): A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the body. This procedure is also called nuclear magnetic resonance imaging (NMRI).    -   Lymph node biopsy : For squamous cell carcinoma, the lymph nodes may be removed and checked to see if cancer has spread to them.
                
                
                    There are three ways that cancer spreads in the body.
                    Cancer can spread through tissue, the lymph system, and the blood:         - Tissue. The cancer spreads from where it began by growing into nearby areas.     - Lymph system. The cancer spreads from where it began by getting into the lymph system. The cancer travels through the lymph vessels to other parts of the body.     - Blood. The cancer spreads from where it began by getting into the blood. The cancer travels through the blood vessels to other parts of the body.
                
                
                    Cancer may spread from where it began to other parts of the body.
                    When cancer spreads to another part of the body, it is called metastasis. Cancer cells break away from where they began (the primary tumor) and travel through the lymph system or blood.         - Lymph system. The cancer gets into the lymph system, travels through the lymph vessels, and forms a tumor (metastatic tumor) in another part of the body.    - Blood. The cancer gets into the blood, travels through the blood vessels, and forms a tumor (metastatic tumor) in another part of the body.        The metastatic tumor is the same type of cancer as the primary tumor. For example, if skin cancer spreads to the lung, the cancer cells in the lung are actually skin cancer cells. The disease is metastatic skin cancer, not lung cancer.
                
                
                    Staging of nonmelanoma skin cancer depends on whether the tumor has certain ""high-risk"" features and if the tumor is on the eyelid.
                    Staging for nonmelanoma skin cancer that is on the eyelid is different from staging for nonmelanoma skin cancer that affects other parts of the body.     The following are high-risk features for nonmelanoma skin cancer that is not on the eyelid:         - The tumor is thicker than 2 millimeters.    - The tumor is described as Clark level IV (has spread into the lower layer of the dermis) or Clark level V (has spread into the layer of fat below the skin).    - The tumor has grown and spread along nerve pathways.    - The tumor began on an ear or on a lip that has hair on it.    - The tumor has cells that look very different from normal cells under a microscope.
                
                
                    The following stages are used for nonmelanoma skin cancer that is not on the eyelid:
                    Stage 0 (Carcinoma in Situ)     In stage 0, abnormal cells are found in the squamous cell or basal cell layer of the epidermis (topmost layer of the skin). These abnormal cells may become cancer and spread into nearby normal tissue. Stage 0 is also called carcinoma in situ.        Stage I     In stage I, cancer has formed. The tumor is not larger than 2 centimeters at its widest point and may have one high-risk feature.       Stage II     In stage II, the tumor is either:            - larger than 2 centimeters at its widest point; or     - any size and has two or more high-risk features.              Stage III    In stage III:            - The tumor has spread to the jaw, eye socket, or side of the skull. Cancer may have spread to one lymph node on the same side of the body as the tumor. The lymph node is not larger than 3 centimeters.              or              - Cancer has spread to one lymph node on the same side of the body as the tumor. The lymph node is not larger than 3 centimeters and one of the following is true:                  - the tumor is not larger than 2 centimeters at its widest point and may have one high-risk feature; or       - the tumor is larger than 2 centimeters at its widest point; or       - the tumor is any size and has two or more high-risk features.                          Stage IV    In stage IV, one of the following is true:            - The tumor is any size and may have spread to the jaw, eye socket, or side of the skull. Cancer has spread to one lymph node on the same side of the body as the tumor and the affected node is larger than 3 centimeters but not larger than 6 centimeters, or cancer has spread to more than one lymph node on one or both sides of the body and the affected nodes are not larger than 6 centimeters; or     - The tumor is any size and may have spread to the jaw, eye socket, skull, spine, or ribs. Cancer has spread to one lymph node that is larger than 6 centimeters; or      - The tumor is any size and has spread to the base of the skull, spine, or ribs. Cancer may have spread to the lymph nodes; or     - Cancer has spread to other parts of the body, such as the lung.
                
                
                    The following stages are used for nonmelanoma skin cancer on the eyelid:
                    Stage 0 (Carcinoma in Situ)    In stage 0, abnormal cells are found in the epidermis (topmost layer of the skin). These abnormal cells may become cancer and spread into nearby normal tissue. Stage 0 is also called carcinoma in situ.       Stage I      Stage I is divided into stages IA, IB, and IC.            -  Stage IA: The tumor is 5 millimeters or smaller and has not spread to the connective tissue of the eyelid or to the edge of the eyelid where the lashes are.      -  Stage IB: The tumor is larger than 5 millimeters but not larger than 10 millimeters or has spread to the connective tissue of the eyelid, or to the edge of the eyelid where the lashes are.     -  Stage IC: The tumor is larger than 10 millimeters but not larger than 20 millimeters or has spread through the full thickness of the eyelid.              Stage II    In stage II, one of the following is true:            - The tumor is larger than 20 millimeters.     - The tumor has spread to nearby parts of the eye or eye socket.     - The tumor has spread to spaces around the nerves in the eyelid.              Stage III     Stage III is divided into stages IIIA, IIIB, and IIIC.            -  Stage IIIA: To remove all of the tumor, the whole eye and part of the optic nerve must be removed. The bone, muscles, fat, and connective tissue around the eye may also be removed.     -  Stage IIIB: The tumor may be anywhere in or near the eye and has spread to nearby lymph nodes.     -  Stage IIIC: The tumor has spread to structures around the eye or in the face, or to the brain, and cannot be removed in surgery.              Stage IV    The tumor has spread to distant parts of the body.
                
                
                    Treatment is based on the type of nonmelanoma skin cancer or other skin condition diagnosed:
                    Basal cell carcinoma      Basal cell carcinoma is the most common type of skin cancer. It usually occurs on areas of the skin that have been in the sun, most often the nose. Often this cancer appears as a raised bump that looks smooth and pearly. Another type looks like a scar and is flat and firm and may be white, yellow, or waxy. Basal cell carcinoma may spread to tissues around the cancer, but it usually does not spread to other parts of the body.       Squamous cell carcinoma      Squamous cell carcinoma occurs on areas of the skin that have been in the sun, such as the ears, lower lip, and the back of the hands. Squamous cell carcinoma may also appear on areas of the skin that have been burned or exposed to chemicals or radiation. Often this cancer appears as a firm red bump. The tumor may feel scaly, bleed, or form a crust. Squamous cell tumors may spread to nearby lymph nodes. Squamous cell carcinoma that has not spread can usually be cured.       Actinic keratosis     Actinic keratosis is a skin condition that is not cancer, but sometimes changes into squamous cell carcinoma. It usually occurs in areas that have been exposed to the sun, such as the face, the back of the hands, and the lower lip. It looks like rough, red, pink, or brown scaly patches on the skin that may be flat or raised, or the lower lip cracks and peels and is not helped by lip balm or petroleum jelly.",Skin Cancer,stages,CancerGov
What are the treatments for Skin Cancer ?,"Key Points
                    - There are different types of treatment for patients with nonmelanoma skin cancer and actinic keratosis.     - Six types of standard treatment are used:         - Surgery      - Radiation therapy      - Chemotherapy      - Photodynamic therapy     - Biologic therapy     - Targeted therapy        - New types of treatment are being tested in clinical trials.    - Treatment for skin cancer may cause side effects.    - Patients may want to think about taking part in a clinical trial.    - Patients can enter clinical trials before, during, or after starting their cancer treatment.    - Follow-up tests may be needed.
                
                
                    There are different types of treatment for patients with nonmelanoma skin cancer and actinic keratosis.
                    Different types of treatment are available for patients with nonmelanoma skin cancer and actinic keratosis. Some treatments are standard (the currently used treatment), and some are being tested in clinical trials. A treatment clinical trial is a research study meant to help improve current treatments or obtain information on new treatments for patients with cancer. When clinical trials show that a new treatment is better than the standard treatment, the new treatment may become the standard treatment. Patients may want to think about taking part in a clinical trial. Some clinical trials are open only to patients who have not started treatment.
                
                
                    Six types of standard treatment are used:
                    Surgery     One or more of the following surgical procedures may be used to treat nonmelanoma skin cancer or actinic keratosis:            -  Mohs micrographic surgery: The tumor is cut from the skin in thin layers. During surgery, the edges of the tumor and each layer of tumor removed are viewed through a microscope to check for cancer cells. Layers continue to be removed until no more cancer cells are seen. This type of surgery removes as little normal tissue as possible and is often used to remove skin cancer on the face.      - Simple excision: The tumor is cut from the skin along with some of the normal skin around it.      - Shave excision: The abnormal area is shaved off the surface of the skin with a small blade.      -  Electrodesiccation and curettage: The tumor is cut from the skin with a curette (a sharp, spoon-shaped tool). A needle-shaped electrode is then used to treat the area with an electric current that stops the bleeding and destroys cancer cells that remain around the edge of the wound. The process may be repeated one to three times during the surgery to remove all of the cancer.     -  Cryosurgery: A treatment that uses an instrument to freeze and destroy abnormal tissue, such as carcinoma in situ. This type of treatment is also called cryotherapy.     -  Laser surgery: A surgical procedure that uses a laser beam (a narrow beam of intense light) as a knife to make bloodless cuts in tissue or to remove a surface lesion such as a tumor.     -  Dermabrasion: Removal of the top layer of skin using a rotating wheel or small particles to rub away skin cells.              Radiation therapy      Radiation therapy is a cancer treatment that uses high-energy x-rays or other types of radiation to kill cancer cells or keep them from growing. There are two types of radiation therapy:            -  External radiation therapy uses a machine outside the body to send radiation toward the cancer.     -  Internal radiation therapy uses a radioactive substance sealed in needles, seeds, wires, or catheters that are placed directly into or near the cancer.           The way the radiation therapy is given depends on the type of cancer being treated. External radiation therapy is used to treat skin cancer.       Chemotherapy      Chemotherapy is a cancer treatment that uses drugs to stop the growth of cancer cells, either by killing the cells or by stopping them from dividing. When chemotherapy is taken by mouth or injected into a vein or muscle, the drugs enter the bloodstream and can reach cancer cells throughout the body (systemic chemotherapy). When chemotherapy is placed directly into the cerebrospinal fluid, an organ, or a body cavity such as the abdomen, the drugs mainly affect cancer cells in those areas (regional chemotherapy). Chemotherapy for nonmelanoma skin cancer and actinic keratosis is usually topical (applied to the skin in a cream or lotion). The way the chemotherapy is given depends on the condition being treated.     Retinoids (drugs related to vitamin A) are sometimes used to treat squamous cell carcinoma of the skin.    See Drugs Approved for Basal Cell Carcinoma for more information.       Photodynamic therapy     Photodynamic therapy (PDT) is a cancer treatment that uses a drug and a certain type of laser light to kill cancer cells. A drug that is not active until it is exposed to light is injected into a vein. The drug collects more in cancer cells than in normal cells. For skin cancer, laser light is shined onto the skin and the drug becomes active and kills the cancer cells. Photodynamic therapy causes little damage to healthy tissue.       Biologic therapy     Biologic therapy is a treatment that uses the patients immune system to fight cancer. Substances made by the body or made in a laboratory are used to boost, direct, or restore the bodys natural defenses against cancer. This type of cancer treatment is also called biotherapy or immunotherapy.     Interferon and imiquimod are biologic agents used to treat skin cancer. Interferon (by injection) may be used to treat squamous cell carcinoma of the skin. Topical imiquimod therapy (a cream applied to the skin) may be used to treat some small basal cell carcinomas.    See Drugs Approved for Basal Cell Carcinoma for more information.       Targeted therapy     Targeted therapy is a type of treatment that uses drugs or other substances to attack cancer cells. Targeted therapies usually cause less harm to normal cells than chemotherapy or radiation therapy do.     Targeted therapy with a signal transduction inhibitor is used to treat basal cell carcinoma. Signal transduction inhibitors block signals that are passed from one molecule to another inside a cell. Blocking these signals may kill cancer cells. Vismodegib and sonidegib are signal transduction inhibitors used to treat basal cell carcinoma.     See Drugs Approved for Basal Cell Carcinoma for more information.
                
                
                    New types of treatment are being tested in clinical trials.
                    Information about clinical trials is available from the NCI website.
                
                
                    Treatment for skin cancer may cause side effects.
                    For information about side effects caused by treatment for cancer, see our Side Effects page.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.
                
                
                    Follow-up tests may be needed.
                    Some of the tests that were done to diagnose the cancer or to find out the stage of the cancer may be repeated. Some tests will be repeated in order to see how well the treatment is working. Decisions about whether to continue, change, or stop treatment may be based on the results of these tests.   Some of the tests will continue to be done from time to time after treatment has ended. The results of these tests can show if your condition has changed or if the cancer has recurred (come back). These tests are sometimes called follow-up tests or check-ups.   Basal cell carcinoma and squamous cell carcinoma are likely to recur (come back), usually within 5 years, or new tumors may form. Talk to your doctor about how often you should have your skin checked for signs of cancer.
                
		        
		            Treatment Options for Nonmelanoma Skin Cancer
		            
		                
		                    Basal Cell Carcinoma
		                    Treatment of basal cell carcinoma may include the following:         - Simple excision.    -  Mohs micrographic surgery.    -  Radiation therapy.    -  Electrodesiccation and curettage.    -  Cryosurgery.    -  Photodynamic therapy.    -  Topical chemotherapy.    -  Topical biologic therapy with imiquimod.    -  Laser surgery.        Treatment of recurrent basal cell carcinoma is usually Mohs micrographic surgery.   Treatment of basal cell carcinoma that is metastatic or cannot be treated with local therapy may include the following:         -  Targeted therapy with a signal transduction inhibitor.    -  Chemotherapy.    - A clinical trial of a new treatment.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with basal cell carcinoma of the skin. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.
		                
		                
		                    Squamous Cell Carcinoma
		                    Treatment of squamous cell carcinoma may include the following:         - Simple excision.    -  Mohs micrographic surgery.    -  Radiation therapy.    -  Electrodesiccation and curettage.    -  Cryosurgery.        Treatment of recurrent squamous cell carcinoma may include the following:         - Simple excision.    - Mohs micrographic surgery.    - Radiation therapy.        Treatment of squamous cell carcinoma that is metastatic or cannot be treated with local therapy may include the following:         -  Chemotherapy.    -  Retinoid therapy and biologic therapy with interferon.    -  A clinical trial of a new treatment.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with squamous cell carcinoma of the skin. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.",Skin Cancer,treatment,CancerGov
what research (or clinical trials) is being done for Skin Cancer ?,"New types of treatment are being tested in clinical trials.
                    Information about clinical trials is available from the NCI website.
                
                
                    Treatment for skin cancer may cause side effects.
                    For information about side effects caused by treatment for cancer, see our Side Effects page.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.",Skin Cancer,research,CancerGov
What is (are) Melanoma ?,"Key Points
                    - Melanoma is a disease in which malignant (cancer) cells form in melanocytes (cells that color the skin).    - There are different types of cancer that start in the skin.    - Melanoma can occur anywhere on the skin.     - Unusual moles, exposure to sunlight, and health history can affect the risk of melanoma.    - Signs of melanoma include a change in the way a mole or pigmented area looks.     - Tests that examine the skin are used to detect (find) and diagnose melanoma.    - Certain factors affect prognosis (chance of recovery) and treatment options.
                
                
                    Melanoma is a disease in which malignant (cancer) cells form in melanocytes (cells that color the skin).
                    The skin is the bodys largest organ. It protects against heat, sunlight, injury, and infection. Skin also helps control body temperature and stores water, fat, and vitamin D. The skin has several layers, but the two main layers are the epidermis (upper or outer layer) and the dermis (lower or inner layer). Skin cancer begins in the epidermis, which is made up of three kinds of cells:          -  Squamous cells: Thin, flat cells that form the top layer of the epidermis.    -  Basal cells: Round cells under the squamous cells.    -  Melanocytes: Cells that make melanin and are found in the lower part of the epidermis. Melanin is the pigment that gives skin its natural color. When skin is exposed to the sun or artificial light, melanocytes make more pigment and cause the skin to darken.        The number of new cases of melanoma has been increasing over the last 40 years. Melanoma is most common in adults, but it is sometimes found in children and adolescents. (See the PDQ summary on Unusual Cancers of Childhood Treatment for more information on melanoma in children and adolescents.)
                
                
                    There are different types of cancer that start in the skin.
                    There are two forms of skin cancer: melanoma and nonmelanoma.   Melanoma is a rare form of skin cancer. It is more likely to invade nearby tissues and spread to other parts of the body than other types of skin cancer. When melanoma starts in the skin, it is called cutaneous melanoma. Melanoma may also occur in mucous membranes (thin, moist layers of tissue that cover surfaces such as the lips). This PDQ summary is about cutaneous (skin) melanoma and melanoma that affects the mucous membranes.   The most common types of skin cancer are basal cell carcinoma and squamous cell carcinoma. They are nonmelanoma skin cancers. Nonmelanoma skin cancers rarely spread to other parts of the body. (See the PDQ summary on Skin Cancer Treatment for more information on basal cell and squamous cell skin cancer.)
                
                
                    Melanoma can occur anywhere on the skin.
                    In men, melanoma is often found on the trunk (the area from the shoulders to the hips) or the head and neck. In women, melanoma forms most often on the arms and legs.    When melanoma occurs in the eye, it is called intraocular or ocular melanoma. (See the PDQ summary on Intraocular (Uveal) Melanoma Treatment for more information.)",Melanoma,information,CancerGov
Who is at risk for Melanoma? ?,"Unusual moles, exposure to sunlight, and health history can affect the risk of melanoma. Anything that increases your risk of getting a disease is called a risk factor. Having a risk factor does not mean that you will get cancer; not having risk factors doesn't mean that you will not get cancer. Talk with your doctor if you think you may be at risk.    Risk factors for melanoma include the following:         - Having a fair complexion, which includes the following:                - Fair skin that freckles and burns easily, does not tan, or tans poorly.       - Blue or green or other light-colored eyes.       - Red or blond hair.              - Being exposed to natural sunlight or artificial sunlight (such as from tanning beds) over long periods of time.     - Being exposed to certain factors in the environment (in the air, your home or workplace, and your food and water). Some of the environmental risk factors for melanoma are radiation, solvents, vinyl chloride, and PCBs.     - Having a history of many blistering sunburns, especially as a child or teenager.     - Having several large or many small moles.    - Having a family history of unusual moles (atypical nevus syndrome).     - Having a family or personal history of melanoma.     - Being white.     - Having a weakened immune system.    - Having certain changes in the genes that are linked to melanoma.        Being white or having a fair complexion increases the risk of melanoma, but anyone can have melanoma, including people with dark skin.    See the following PDQ summaries for more information on risk factors for melanoma:         -  Genetics of Skin Cancer     -  Skin Cancer Prevention",Melanoma,susceptibility,CancerGov
What are the symptoms of Melanoma ?,"Signs of melanoma include a change in the way a mole or pigmented area looks. These and other signs and symptoms may be caused by melanoma or by other conditions. Check with your doctor if you have any of the following:         - A mole that:                - changes in size, shape, or color.      - has irregular edges or borders.      - is more than one color.      - is asymmetrical (if the mole is divided in half, the 2 halves are different in size or shape).      - itches.      -  oozes, bleeds, or is ulcerated (a hole forms in the skin when the top layer of cells breaks down and the tissue below shows through).             - A change in pigmented (colored) skin.     - Satellite moles (new moles that grow near an existing mole).        For pictures and descriptions of common moles and melanoma, see Common Moles, Dysplastic Nevi, and Risk of Melanoma.",Melanoma,symptoms,CancerGov
